7-Zip 22.01 (x64)|22.01
GitHub CLI|2.20.2
Microsoft .NET Core SDK 3.1.425 (x64)|3.1.425.16213
Microsoft .NET Framework 4.8.1 SDK|4.8.09032
Microsoft .NET Framework 4.8.1 Targeting Pack|4.8.09032
Microsoft .NET Runtime - 5.0.17 (x64)|5.0.17.31213
Microsoft .NET SDK 5.0.408 (x64)|5.4.822.21928
Microsoft .NET SDK 6.0.403 (x64)|6.4.322.52402
Microsoft .NET SDK 7.0.100 (x64)|7.1.22.52112
Microsoft .NET SDK 7.0.100 (x64) from Visual Studio|7.1.22.52112
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17|9.0.30729
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161|9.0.30729.6161
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664|12.0.40664.0
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.34.31931|14.34.31931.0
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31931|14.34.31931.0
Microsoft Windows Desktop Runtime - 6.0.11 (x64)|6.0.11.31823
Microsoft Windows Desktop Runtime - 6.0.11 (x86)|6.0.11.31823
Node.js|18.12.1
NVM for Windows |
Oh My Posh version 12.23.0 (Current user)|12.23.0
Oh My Posh version 12.24.0 (All users)|12.24.0
PowerShell 7-x64|7.3.0.0
